0	Pick the mug from the counter and place it under the coffee machine dispenser.
1	Pick the mug from the counter and place it under the coffee machine dispenser.
2	Pick the mug from the counter and place it under the coffee machine dispenser.
3	Pick the mug from the counter and place it under the coffee machine dispenser.
4	Pick the mug from the counter and place it under the coffee machine dispenser.
5	Pick the mug from the counter and place it under the coffee machine dispenser.
6	Pick the mug from the counter and place it under the coffee machine dispenser.
7	Pick the mug from the counter and place it under the coffee machine dispenser.
8	Pick the mug from the counter and place it under the coffee machine dispenser.
9	Pick the mug from the counter and place it under the coffee machine dispenser.
10	Pick the mug from the counter and place it under the coffee machine dispenser.
11	Pick the mug from the counter and place it under the coffee machine dispenser.
