0	Fully slide the top dishwasher rack out.
1	Fully slide the top dishwasher rack out.
2	Fully slide the top dishwasher rack out.
3	Fully slide the top dishwasher rack out.
4	Fully slide the top dishwasher rack out.
5	Fully slide the top dishwasher rack out.
6	Fully slide the top dishwasher rack out.
7	Fully slide the top dishwasher rack out.
8	Fully slide the top dishwasher rack out.
9	Fully slide the top dishwasher rack out.
10	Fully slide the top dishwasher rack out.
11	Fully slide the top dishwasher rack out.
