0	Pick the apple from the counter and place it in the cabinet.
1	Pick the apple from the counter and place it in the cabinet.
2	Pick the apple from the counter and place it in the cabinet.
3	Pick the apple from the counter and place it in the cabinet.
4	Pick the apple from the counter and place it in the cabinet.
5	Pick the apple from the counter and place it in the cabinet.
6	Pick the apple from the counter and place it in the cabinet.
7	Pick the apple from the counter and place it in the cabinet.
8	Pick the apple from the counter and place it in the cabinet.
9	Pick the apple from the counter and place it in the cabinet.
10	Pick the apple from the counter and place it in the cabinet.
11	Pick the apple from the counter and place it in the cabinet.
