파일	스테이지	LOC	최종수정	역할	플래그	비고
scripts/safe/groot_n15/robocasa/steer/ab_sweep_chain.sh	S6	26	07-06	α/β sweep 체인	구라운드,개별	
scripts/safe/groot_n15/robocasa/steer/ablation_queue_gpu01.sh	S6	25	07-06	사다리 ablation 큐	구라운드,개별	
scripts/safe/groot_n15/robocasa/steer/confirm90_gpu23.sh	S6	74	07-06	확증 90판 러너	구라운드,개별	
scripts/safe/groot_n15/robocasa/steer/cross_instruction_chain.sh	S6	57	07-06	cross-instruction 체인	구라운드,개별	
scripts/safe/groot_n15/robocasa/steer/exp2/exp2_cell_runner.sh	S6	112	07-22	exp2 라운드 실행·큐	exp2,종결(null)	
scripts/safe/groot_n15/robocasa/steer/exp2/exp2_cell_runner_srv50.sh	S6	100	07-22	exp2 라운드 실행·큐	exp2,종결(null)	
scripts/safe/groot_n15/robocasa/steer/exp2/p1_remote_chain.sh	S6	55	07-22	exp2 라운드 실행·큐	exp2,종결(null)	
scripts/safe/groot_n15/robocasa/steer/exp2/p1_screen.sh	S6	59	07-22	exp2 라운드 실행·큐	exp2,종결(null)	
scripts/safe/groot_n15/robocasa/steer/exp2/p2_select_cell.sh	S6	36	07-22	exp2 라운드 실행·큐	exp2,종결(null)	
scripts/safe/groot_n15/robocasa/steer/exp2/p2_select_cell_srv50.sh	S6	30	07-22	exp2 라운드 실행·큐	exp2,종결(null)	
scripts/safe/groot_n15/robocasa/steer/exp2/p2_select_cell_v2.sh	S6	37	07-22	exp2 라운드 실행·큐	exp2,종결(null)	
scripts/safe/groot_n15/robocasa/steer/exp2/p2_select_pool.sh	S6	73	07-22	exp2 라운드 실행·큐	exp2,종결(null)	
scripts/safe/groot_n15/robocasa/steer/exp2/p3_lane_local.sh	S6	46	07-22	exp2 라운드 실행·큐	exp2,종결(null)	
scripts/safe/groot_n15/robocasa/steer/exp2/p3_lane_srv48.sh	S6	57	07-22	exp2 라운드 실행·큐	exp2,종결(null)	
scripts/safe/groot_n15/robocasa/steer/exp2/p3_lane_srv48_lite.sh	S6	53	07-22	exp2 라운드 실행·큐	exp2,종결(null)	
scripts/safe/groot_n15/robocasa/steer/exp2/p3_lane_srv48_lite_b.sh	S6	53	07-22	exp2 라운드 실행·큐	exp2,종결(null)	
scripts/safe/groot_n15/robocasa/steer/exp2/p3_lane_srv50.sh	S6	52	07-22	exp2 라운드 실행·큐	exp2,종결(null)	
scripts/safe/groot_n15/robocasa/steer/exp2/p3_lane_srv50g0.sh	S6	52	07-22	exp2 라운드 실행·큐	exp2,종결(null)	
scripts/safe/groot_n15/robocasa/steer/exp2/p3_lane_srv50g0b.sh	S6	52	07-22	exp2 라운드 실행·큐	exp2,종결(null)	
scripts/safe/groot_n15/robocasa/steer/exp2/p3_lane_srv50g1.sh	S6	52	07-22	exp2 라운드 실행·큐	exp2,종결(null)	
scripts/safe/groot_n15/robocasa/steer/exp2/prune_completed_p3.sh	S6	47	07-22	exp2 라운드 실행·큐	exp2,종결(null)	
scripts/safe/groot_n15/robocasa/steer/exp2/sj_deprecate_round2.sh	S6	18	07-22	exp2 라운드 실행·큐	exp2,종결(null)	
scripts/safe/groot_n15/robocasa/steer/exp2/srv50_collect_cell.sh	S6	64	07-22	exp2 라운드 실행·큐	exp2,종결(null)	
scripts/safe/groot_n15/robocasa/steer/exp3/beta_sweep.sh	S6	41	07-22	exp3 라운드 실행·큐	exp3,종결(null)	
scripts/safe/groot_n15/robocasa/steer/exp3/exp3_c0_scan.sh	S6	83	07-22	exp3 라운드 실행·큐	exp3,종결(null)	
scripts/safe/groot_n15/robocasa/steer/exp3/exp3_cell_runner.sh	S6	250	07-22	exp3 라운드 실행·큐	exp3,종결(null)	
scripts/safe/groot_n15/robocasa/steer/exp3/exp3_cell_runner_srv50.sh	S6	218	07-22	exp3 라운드 실행·큐	exp3,종결(null)	
scripts/safe/groot_n15/robocasa/steer/exp3/exp3_collect_cell.sh	S6	167	07-22	exp3 라운드 실행·큐	exp3,종결(null)	
scripts/safe/groot_n15/robocasa/steer/exp3/exp3_collect_cell_srv50.sh	S6	144	07-22	exp3 라운드 실행·큐	exp3,종결(null)	
scripts/safe/groot_n15/robocasa/steer/exp3/exp3_lane_local.sh	S6	50	07-22	exp3 라운드 실행·큐	exp3,종결(null)	
scripts/safe/groot_n15/robocasa/steer/exp3/exp3_lane_srv50.sh	S6	55	07-22	exp3 라운드 실행·큐	exp3,종결(null)	
scripts/safe/groot_n15/robocasa/steer/exp3/exp3_lib.sh	S6	94	07-22	exp3 라운드 실행·큐	exp3,종결(null)	
scripts/safe/groot_n15/robocasa/steer/exp4_1/mixer_c0_collect.sh	S6	127	07-23	exp4-1 rescue 실행·원격 fit 러너	exp4-1,완료	
scripts/safe/groot_n15/robocasa/steer/exp4_1/run_conceptor_fit_remote.sh	S6	49	07-23	exp4-1 rescue 실행·원격 fit 러너	exp4-1,완료	
scripts/safe/groot_n15/robocasa/steer/exp4_1/run_conceptor_sweep_remote.sh	S6	17	07-23	exp4-1 rescue 실행·원격 fit 러너	exp4-1,완료	
scripts/safe/groot_n15/robocasa/steer/exp4_1/run_fits_remote.sh	S6	20	07-22	exp4-1 rescue 실행·원격 fit 러너	exp4-1,완료	
scripts/safe/groot_n15/robocasa/steer/exp4_1/run_gated_fits_remote.sh	S6	50	07-23	exp4-1 rescue 실행·원격 fit 러너	exp4-1,완료	
scripts/safe/groot_n15/robocasa/steer/exp4_1/run_nolen_fits_remote.sh	S6	78	07-25	exp4-1 rescue 실행·원격 fit 러너	exp4-1,완료	
scripts/safe/groot_n15/robocasa/steer/exp4_1/run_oracle_rescue.sh	S6	198	07-24	exp4-1 rescue 실행·원격 fit 러너	exp4-1,완료	
scripts/safe/groot_n15/robocasa/steer/exp4_1/smoke_exp41.sh	S6	87	07-22	exp4-1 rescue 실행·원격 fit 러너	exp4-1,완료	
scripts/safe/groot_n15/robocasa/steer/exp5_3/beta_sweep.sh	S6	141	07-27	exp5-3 setM 수집·eval (per-scene setpoint 확립 라운드)	exp5-3,현행연계	
scripts/safe/groot_n15/robocasa/steer/exp5_3/collect_sm_mixer.sh	S6	111	07-28	exp5-3 setM 수집·eval (per-scene setpoint 확립 라운드)	exp5-3,현행연계	
scripts/safe/groot_n15/robocasa/steer/exp5_3/eval_ws_steer.sh	S6	171	07-28	exp5-3 setM 수집·eval (per-scene setpoint 확립 라운드)	exp5-3,현행연계	
scripts/safe/groot_n15/robocasa/steer/exp5_3/mixer_sm_collect.sh	S6	113	07-27	exp5-3 setM 수집·eval (per-scene setpoint 확립 라운드)	exp5-3,현행연계	
scripts/safe/groot_n15/robocasa/steer/exp5_3/mixer_sm_pull.sh	S6	38	07-27	exp5-3 setM 수집·eval (per-scene setpoint 확립 라운드)	exp5-3,현행연계	
scripts/safe/groot_n15/robocasa/steer/exp5_4/probe_collect.sh	S6	294	07-28	probe 수집 러너	exp5-4,종결	
