파일	스테이지	LOC	최종수정	역할	플래그	비고
scripts/safe/groot_n15/robocasa/steer/aggregate_final_scene.py	S7	114	07-22	final scene 라운드 집계	구라운드,종결	
scripts/safe/groot_n15/robocasa/steer/plan_instruction_steering_eval.py	S7	542	06-11	instruction steering eval 계획기 (참조 대상 archive 됨)	exp2,종결(깨짐)	
scripts/safe/groot_n15/robocasa/steer/exp2/aggregate_v2.py	S7	324	07-22	exp2 집계·게이트·판정	exp2,종결(null)	
scripts/safe/groot_n15/robocasa/steer/exp2/p0_gate.py	S7	78	07-22	exp2 집계·게이트·판정	exp2,종결(null)	
scripts/safe/groot_n15/robocasa/steer/exp2/p2_decide.py	S7	67	07-22	exp2 집계·게이트·판정	exp2,종결(null)	
scripts/safe/groot_n15/robocasa/steer/exp2/p2_decide_pool.py	S7	69	07-22	exp2 집계·게이트·판정	exp2,종결(null)	
scripts/safe/groot_n15/robocasa/steer/exp3/aggregate_exp3.py	S7	329	07-22	exp3 집계·게이트·판정 (6-Holm·CI 규칙 구현)	exp3,종결(null)	
scripts/safe/groot_n15/robocasa/steer/exp3/beta_decide.py	S7	123	07-22	exp3 집계·게이트·판정 (6-Holm·CI 규칙 구현)	exp3,종결(null)	
scripts/safe/groot_n15/robocasa/steer/exp3/exp3_decision.py	S7	174	07-22	exp3 집계·게이트·판정 (6-Holm·CI 규칙 구현)	exp3,종결(null)	
scripts/safe/groot_n15/robocasa/steer/exp3/exp3_gated_gate.py	S7	247	07-22	exp3 집계·게이트·판정 (6-Holm·CI 규칙 구현)	exp3,종결(null)	
scripts/safe/groot_n15/robocasa/steer/exp3/p0_gate_exp3.py	S7	82	07-22	exp3 집계·게이트·판정 (6-Holm·CI 규칙 구현)	exp3,종결(null)	
scripts/safe/groot_n15/robocasa/steer/exp3/tests/test_gate_a.py	S7	436	07-22	exp3 집계·게이트·판정 (6-Holm·CI 규칙 구현)	exp3,종결(null)	
scripts/safe/groot_n15/robocasa/steer/exp4_1/aggregate_rescue.py	S7	184	07-23	rescue 집계·tremor·dose 감사	exp4-1,완료	
scripts/safe/groot_n15/robocasa/steer/exp4_1/analyze_action_tremor.py	S7	178	07-24	rescue 집계·tremor·dose 감사	exp4-1,완료	
scripts/safe/groot_n15/robocasa/steer/exp4_1/audit_flags.py	S7	126	07-23	rescue 집계·tremor·dose 감사	exp4-1,완료	
scripts/safe/groot_n15/robocasa/steer/exp4_1/diag_dose_robustness.py	S7	138	07-23	rescue 집계·tremor·dose 감사	exp4-1,완료	
scripts/safe/groot_n15/robocasa/steer/exp5_3/aggregate_ws_steer.py	S7	110	07-27	within-scene steer 집계 — 차기 판정의 직계 조상	exp5-3,현행연계	
scripts/safe/groot_n15/robocasa/steer/exp5_4/analysis/export_loso_directions.py	S7	75	07-28	noise 선별 통계 (순열·위약·검정력 — 종결 판정의 산실)	exp5-4,종결(seed암기)	
scripts/safe/groot_n15/robocasa/steer/exp5_4/analysis/_sel_baselines.py	S7	173	07-28	noise 선별 통계 (순열·위약·검정력 — 종결 판정의 산실)	exp5-4,종결(seed암기)	
scripts/safe/groot_n15/robocasa/steer/exp5_4/analysis/_sel_common.py	S7	210	07-28	noise 선별 통계 (순열·위약·검정력 — 종결 판정의 산실)	exp5-4,종결(seed암기)	
scripts/safe/groot_n15/robocasa/steer/exp5_4/analysis/selection_baselines.py	S7	197	07-28	noise 선별 통계 (순열·위약·검정력 — 종결 판정의 산실)	exp5-4,종결(seed암기)	
scripts/safe/groot_n15/robocasa/steer/exp5_4/analysis/selection_by_record.py	S7	280	07-28	noise 선별 통계 (순열·위약·검정력 — 종결 판정의 산실)	exp5-4,종결(seed암기)	
